Iteration,Cost,Sequence
84,237,7 9 16 13 15 11 10 3 17 6 1 2 12 14 5 4 8
85,239,10 12 13 11 6 2 7 15 4 16 14 8 3 1 5 9 17
86,180,3 14 17 8 6 7 5 1 12 9 11 15 13 16 10 2 4
87,189,11 4 10 1 13 5 16 9 3 12 8 14 2 7 6 17 15
88,209,6 3 17 9 11 10 15 16 5 4 8 12 1 2 7 14 13
89,247,2 7 9 17 6 14 1 4 15 5 12 13 10 8 3 11 16
90,201,5 10 3 12 6 16 14 4 1 9 7 8 13 2 11 15 17
91,191,13 5 12 4 14 16 1 10 7 9 3 6 2 8 11 15 17
92,183,2 17 4 1 7 9 11 8 6 13 15 14 3 16 10 5 12
93,186,5 2 13 10 17 15 4 3 7 9 8 6 12 16 14 11 1
94,198,14 11 7 5 15 2 8 4 9 12 6 17 3 16 13 10 1
95,203,8 16 5 6 9 2 17 14 10 12 15 4 3 13 1 11 7
96,225,4 8 1 17 7 11 3 15 6 14 10 16 9 2 13 5 12
97,185,12 15 17 10 8 13 16 9 7 6 4 1 2 14 3 5 11
98,223,16 4 13 5 8 2 10 7 15 17 1 12 3 11 6 14 9
99,245,4 2 8 1 3 7 15 13 6 9 17 12 14 10 11 5 16
100,191,1 15 5 8 11 14 7 16 13 4 6 12 2 17 3 9 10
101,191,1 15 5 8 11 14 7 16 13 4 6 12 2 17 3 9 10
