Iteration,Cost,Temperature,Sequence
0,17,5000,2 3 1
199,17,0,01005023,2 3 1
200,17,0,009999977,2 3 1
201,17,0,009950226,2 3 1
202,17,0,009900968,2 3 1
203,17,0,009852194,2 3 1
204,17,0,0098039,2 3 1
205,17,0,009756076,2 3 1
206,17,0,009708717,2 3 1
207,17,0,009661815,2 3 1
208,17,0,009615364,2 3 1
209,17,0,009569357,2 3 1
210,17,0,009523789,2 3 1
211,17,0,009478653,2 3 1
212,17,0,009433942,2 3 1
213,17,0,009389651,2 3 1
214,17,0,009345775,2 3 1
215,17,0,009302306,2 3 1
216,17,0,00925924,2 3 1
217,17,0,00921657,2 3 1
218,17,0,009174292,2 3 1
219,17,0,0091324,2 3 1
220,17,0,009090889,2 3 1
221,17,0,009049754,2 3 1
222,17,0,009008989,2 3 1
223,17,0,00896859,2 3 1
224,17,0,008928551,2 3 1
225,17,0,00888887,2 3 1
226,17,0,008849539,2 3 1
227,17,0,008810555,2 3 1
228,17,0,008771912,2 3 1
229,17,0,008733607,2 3 1
230,17,0,008695635,2 3 1
231,17,0,008657992,2 3 1
232,17,0,008620673,2 3 1
233,17,0,008583674,2 3 1
234,17,0,008546992,2 3 1
235,17,0,008510622,2 3 1
236,17,0,00847456,2 3 1
237,17,0,008438802,2 3 1
238,17,0,008403345,2 3 1
239,17,0,008368185,2 3 1
240,17,0,008333317,2 3 1
241,17,0,008298739,2 3 1
242,17,0,008264447,2 3 1
243,17,0,008230437,2 3 1
244,17,0,008196705,2 3 1
245,17,0,008163249,2 3 1
246,17,0,008130065,2 3 1
247,17,0,00809715,2 3 1
248,17,0,008064501,2 3 1
249,17,0,008032113,2 3 1
250,17,0,007999985,2 3 1
251,17,0,007968112,2 3 1
252,17,0,007936493,2 3 1
253,17,0,007905123,2 3 1
254,17,0,007874,2 3 1
255,17,0,007843122,2 3 1
256,17,0,007812485,2 3 1
257,17,0,007782086,2 3 1
258,17,0,007751923,2 3 1
259,17,0,007721992,2 3 1
