Iteration,Cost,Temperature,Sequence
0,17,1000,2 3 1
1,22,900,2 1 3
2,26,800,1 2 3
3,21,700,1 3 2
4,17,600,2 3 1
5,22,500,2 1 3
6,26,400,1 2 3
7,22,300,2 1 3
8,17,200,2 3 1
9,21,100,1 3 2
10,26,0,1 2 3
