Iteration,Cost,Temperature,Sequence
0,207,5000,15 7 5 14 2 17 6 4 3 16 13 11 12 8 1 9 10
1,207,4999,15 7 5 14 2 17 9 4 3 16 13 11 12 8 1 6 10
2,215,4997,15 7 5 14 10 17 9 4 3 16 13 11 12 8 1 6 2
3,215,4994,15 7 5 14 10 2 9 4 3 16 13 11 12 8 1 6 17
4,223,4990,15 7 5 14 10 2 9 4 3 16 17 11 12 8 1 6 13
5,237,4985,15 7 5 14 11 2 9 4 3 16 17 10 12 8 1 6 13
6,215,4979,15 7 5 14 4 2 9 11 3 16 17 10 12 8 1 6 13
7,219,4972,15 7 5 9 4 2 14 11 3 16 17 10 12 8 1 6 13
8,227,4964,15 7 5 4 9 2 14 11 3 16 17 10 12 8 1 6 13
9,218,4955,15 7 5 4 9 2 14 11 3 16 17 10 12 8 13 6 1
10,224,4945,15 7 5 14 9 2 4 11 3 16 17 10 12 8 13 6 1
11,224,4934,15 5 7 14 9 2 4 11 3 16 17 10 12 8 13 6 1
12,234,4922,15 5 10 14 9 2 4 11 3 16 17 7 12 8 13 6 1
13,226,4909,15 5 10 14 9 2 4 11 12 16 17 7 3 8 13 6 1
14,222,4895,15 5 10 14 9 2 4 11 12 16 17 7 3 13 8 6 1
15,178,4880,15 17 10 14 9 2 4 11 12 16 5 7 3 13 8 6 1
16,176,4864,15 17 10 14 5 2 4 11 12 16 9 7 3 13 8 6 1
17,176,4847,15 17 10 14 5 2 4 11 12 6 9 7 3 13 8 16 1
18,224,4829,15 6 10 14 5 2 4 11 12 17 9 7 3 13 8 16 1
19,230,4810,15 6 10 8 5 2 4 11 12 17 9 7 3 13 14 16 1
20,222,4790,15 6 10 8 5 2 4 11 12 17 3 7 9 13 14 16 1
21,214,4769,5 6 10 8 15 2 4 11 12 17 3 7 9 13 14 16 1
22,206,4747,5 6 10 8 15 2 4 9 12 17 3 7 11 13 14 16 1
23,214,4724,13 6 10 8 15 2 4 9 12 17 3 7 11 5 14 16 1
24,196,4700,13 6 10 4 15 2 8 9 12 17 3 7 11 5 14 16 1
25,196,4675,13 6 8 4 15 2 10 9 12 17 3 7 11 5 14 16 1
26,200,4649,13 6 8 4 15 2 10 9 12 14 3 7 11 5 17 16 1
27,210,4622,13 6 8 15 4 2 10 9 12 14 3 7 11 5 17 16 1
28,212,4594,13 6 8 11 4 2 10 9 12 14 3 7 15 5 17 16 1
29,219,4565,13 6 8 11 4 2 10 9 12 14 1 7 15 5 17 16 3
30,225,4535,13 6 8 11 4 2 10 9 7 14 1 12 15 5 17 16 3
31,221,4504,13 6 8 7 4 2 10 9 11 14 1 12 15 5 17 16 3
32,211,4472,13 6 8 7 4 2 10 9 11 14 1 12 3 5 17 16 15
33,215,4439,13 6 8 14 4 2 10 9 11 7 1 12 3 5 17 16 15
34,235,4405,13 4 8 14 6 2 10 9 11 7 1 12 3 5 17 16 15
35,239,4370,13 4 8 14 6 2 10 9 11 7 1 12 17 5 3 16 15
36,237,4334,13 4 8 14 2 6 10 9 11 7 1 12 17 5 3 16 15
37,251,4297,13 4 8 14 2 6 10 9 3 7 1 12 17 5 11 16 15
38,239,4259,13 11 8 14 2 6 10 9 3 7 1 12 17 5 4 16 15
39,231,4220,13 11 8 9 2 6 10 14 3 7 1 12 17 5 4 16 15
40,231,4180,13 9 8 11 2 6 10 14 3 7 1 12 17 5 4 16 15
41,231,4139,13 9 8 11 2 6 1 14 3 7 10 12 17 5 4 16 15
42,227,4097,7 9 8 11 2 6 1 14 3 13 10 12 17 5 4 16 15
43,239,4054,7 4 8 11 2 6 1 14 3 13 10 12 17 5 9 16 15
44,215,4010,7 4 8 11 5 6 1 14 3 13 10 12 17 2 9 16 15
45,237,3965,7 4 14 11 5 6 1 8 3 13 10 12 17 2 9 16 15
46,235,3919,7 4 14 11 5 6 1 8 3 13 10 12 17 15 9 16 2
47,215,3872,7 8 14 11 5 6 1 4 3 13 10 12 17 15 9 16 2
48,211,3824,7 8 14 11 5 2 1 4 3 13 10 12 17 15 9 16 6
49,201,3775,7 8 14 11 12 2 1 4 3 13 10 5 17 15 9 16 6
50,217,3725,9 8 14 11 12 2 1 4 3 13 10 5 17 15 7 16 6
51,239,3674,9 8 14 11 12 2 1 4 3 13 10 5 16 15 7 17 6
52,225,3622,9 8 14 11 12 2 1 17 3 13 10 5 16 15 7 4 6
53,215,3569,9 8 14 11 12 2 1 17 3 7 10 5 16 15 13 4 6
54,233,3515,9 8 14 11 17 2 1 12 3 7 10 5 16 15 13 4 6
55,221,3460,9 8 14 11 7 2 1 12 3 17 10 5 16 15 13 4 6
56,221,3404,9 8 10 11 7 2 1 12 3 17 14 5 16 15 13 4 6
57,221,3347,8 9 10 11 7 2 1 12 3 17 14 5 16 15 13 4 6
58,215,3289,8 9 10 11 7 2 3 12 1 17 14 5 16 15 13 4 6
59,215,3230,8 1 10 11 7 2 3 12 9 17 14 5 16 15 13 4 6
60,203,3170,8 1 10 11 7 2 3 12 9 17 14 15 16 5 13 4 6
61,191,3109,8 1 10 11 7 2 3 12 9 16 14 15 17 5 13 4 6
62,217,3047,8 1 10 11 7 2 3 12 9 15 14 16 17 5 13 4 6
63,219,2984,8 1 10 11 7 2 3 12 9 15 14 16 17 5 6 4 13
64,217,2920,8 1 10 11 7 2 3 12 9 17 14 16 15 5 6 4 13
65,225,2855,8 12 10 11 7 2 3 1 9 17 14 16 15 5 6 4 13
66,207,2789,8 12 10 11 7 6 3 1 9 17 14 16 15 5 2 4 13
67,195,2722,15 12 10 11 7 6 3 1 9 17 14 16 8 5 2 4 13
68,199,2654,15 12 3 11 7 6 10 1 9 17 14 16 8 5 2 4 13
69,193,2585,15 12 16 11 7 6 10 1 9 17 14 3 8 5 2 4 13
70,201,2515,15 12 16 11 7 6 10 1 9 17 3 14 8 5 2 4 13
71,207,2444,15 12 16 11 7 6 10 2 9 17 3 14 8 5 1 4 13
72,207,2372,15 12 16 14 7 6 10 2 9 17 3 11 8 5 1 4 13
73,207,2299,15 12 16 14 7 6 10 4 9 17 3 11 8 5 1 2 13
74,211,2225,15 12 13 14 7 6 10 4 9 17 3 11 8 5 1 2 16
75,191,2150,15 12 13 14 7 6 10 4 9 16 3 11 8 5 1 2 17
76,203,2074,15 12 13 14 7 6 10 11 9 16 3 4 8 5 1 2 17
77,207,1997,15 12 13 14 7 6 10 11 9 16 3 4 1 5 8 2 17
78,207,1919,15 12 5 14 7 6 10 11 9 16 3 4 1 13 8 2 17
79,205,1840,15 12 5 14 7 6 10 3 9 16 11 4 1 13 8 2 17
80,205,1760,6 12 5 14 7 15 10 3 9 16 11 4 1 13 8 2 17
81,201,1679,6 12 5 14 7 15 1 3 9 16 11 4 10 13 8 2 17
82,199,1597,6 8 5 14 7 15 1 3 9 16 11 4 10 13 12 2 17
83,209,1514,6 8 5 14 7 15 1 3 9 16 4 11 10 13 12 2 17
84,197,1430,6 7 5 14 8 15 1 3 9 16 4 11 10 13 12 2 17
85,201,1345,14 7 5 6 8 15 1 3 9 16 4 11 10 13 12 2 17
86,203,1259,14 7 5 6 9 15 1 3 8 16 4 11 10 13 12 2 17
87,229,1172,14 7 5 15 9 6 1 3 8 16 4 11 10 13 12 2 17
88,227,1084,14 9 5 15 7 6 1 3 8 16 4 11 10 13 12 2 17
89,233,995,14 9 5 15 7 6 4 3 8 16 1 11 10 13 12 2 17
90,233,905,14 9 5 15 7 6 4 3 11 16 1 8 10 13 12 2 17
