Iteration,Cost,Sequence
0,207,15 7 5 14 2 17 6 4 3 16 13 11 12 8 1 9 10
1,207,15 7 5 14 2 17 6 4 3 16 13 11 12 8 1 9 10
2,207,15 7 5 14 2 17 6 4 3 16 13 11 12 8 1 9 10
3,181,1 5 16 3 17 15 13 8 14 6 9 12 7 11 4 2 10
4,181,1 5 16 3 17 15 13 8 14 6 9 12 7 11 4 2 10
5,181,1 5 16 3 17 15 13 8 14 6 9 12 7 11 4 2 10
6,181,1 5 16 3 17 15 13 8 14 6 9 12 7 11 4 2 10
7,181,1 5 16 3 17 15 13 8 14 6 9 12 7 11 4 2 10
8,181,1 5 16 3 17 15 13 8 14 6 9 12 7 11 4 2 10
9,181,1 5 16 3 17 15 13 8 14 6 9 12 7 11 4 2 10
10,181,1 5 16 3 17 15 13 8 14 6 9 12 7 11 4 2 10
11,181,1 5 16 3 17 15 13 8 14 6 9 12 7 11 4 2 10
12,181,1 5 16 3 17 15 13 8 14 6 9 12 7 11 4 2 10
13,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
14,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
15,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
16,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
17,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
18,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
19,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
20,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
21,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
22,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
23,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
24,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
25,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
26,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
27,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
28,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
29,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
30,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
31,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
32,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
33,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
34,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
35,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
36,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
37,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
38,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
39,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
40,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
41,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
42,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
43,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
44,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
45,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
46,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
47,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
48,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
49,165,15 10 1 14 4 13 2 3 5 9 6 11 12 17 7 8 16
