Iteration,Cost,Sequence
0,49,2 3 5 1 6 4
1,35,6 3 5 1 2 4
2,35,5 3 6 1 2 4
3,35,5 3 6 1 2 4
4,35,5 3 6 1 2 4
5,35,6 3 5 1 2 4
6,35,6 3 5 1 2 4
7,35,6 3 5 1 2 4
8,35,6 3 5 1 2 4
9,35,6 3 5 1 2 4
10,35,6 3 5 1 2 4
11,35,6 3 5 1 2 4
12,35,6 3 5 1 2 4
13,35,6 3 5 1 2 4
14,35,6 3 5 1 2 4
15,35,6 3 5 1 2 4
16,35,6 3 5 1 2 4
17,35,6 3 5 1 2 4
18,35,6 3 5 1 2 4
19,35,6 3 5 1 2 4
20,35,6 3 5 1 2 4
21,35,1 3 5 6 2 4
22,35,1 3 5 6 2 4
23,35,6 3 5 1 2 4
24,35,6 3 5 1 2 4
25,35,6 3 5 1 2 4
26,35,6 3 5 1 2 4
27,35,6 3 5 1 2 4
28,35,6 3 5 1 2 4
29,35,6 3 5 1 2 4
30,35,6 3 5 1 2 4
31,35,6 3 5 1 2 4
32,35,6 3 5 1 2 4
33,35,6 3 5 1 2 4
34,35,5 3 6 1 2 4
35,35,5 3 6 1 2 4
36,35,5 3 6 1 2 4
37,35,5 3 6 1 2 4
38,35,6 3 5 1 2 4
39,35,6 3 5 1 2 4
40,35,6 3 5 1 2 4
41,35,6 3 5 1 2 4
42,35,5 3 6 1 2 4
43,35,5 3 6 1 2 4
44,35,5 3 6 1 2 4
45,35,5 3 6 1 2 4
46,35,5 3 6 1 2 4
47,35,6 3 5 1 2 4
48,35,6 3 5 1 2 4
49,35,6 3 5 1 2 4
50,35,6 3 5 1 2 4
51,35,1 3 5 6 2 4
52,35,1 3 5 6 2 4
53,35,1 3 5 6 2 4
54,35,1 3 5 6 2 4
55,33,1 6 5 3 2 4
56,33,1 6 5 3 2 4
57,33,1 6 5 3 2 4
58,33,1 6 5 3 2 4
59,33,1 6 5 3 2 4
60,33,1 6 5 3 2 4
61,33,1 6 5 3 2 4
62,29,1 6 5 3 4 2
63,29,1 6 5 3 4 2
64,29,1 6 5 3 4 2
65,29,1 6 5 3 4 2
66,29,1 6 5 3 4 2
67,29,1 6 5 3 4 2
68,29,1 6 5 3 4 2
69,29,1 6 5 3 4 2
70,29,1 6 5 3 4 2
71,29,1 6 5 3 4 2
72,29,1 6 5 3 4 2
73,29,1 6 5 3 4 2
74,29,1 6 5 3 4 2
75,29,1 6 5 3 4 2
76,29,1 6 5 3 4 2
77,29,1 6 5 3 4 2
78,29,1 6 5 3 4 2
79,29,1 6 5 3 4 2
80,29,1 6 5 3 4 2
81,29,1 6 5 3 4 2
82,29,1 6 5 3 4 2
83,29,1 6 5 3 4 2
84,29,1 6 5 3 4 2
85,29,1 6 5 3 4 2
86,29,1 6 5 3 4 2
87,29,1 6 5 3 4 2
88,29,1 6 5 3 4 2
89,29,1 6 5 3 4 2
90,29,1 6 5 3 4 2
91,29,1 6 5 3 4 2
92,29,1 6 5 3 4 2
93,29,1 6 5 3 4 2
94,29,1 6 5 3 4 2
95,29,1 6 5 3 4 2
96,29,1 6 5 3 4 2
97,29,1 6 5 3 4 2
98,29,1 6 5 3 4 2
99,29,1 6 5 3 4 2
