Iteration,Cost,Sequence
0,79,7 5 2 6 4 3 11 12 8 1 9 10
1,79,7 5 2 6 4 3 11 12 8 1 9 10
2,79,7 5 2 6 4 3 11 12 8 1 9 10
3,79,7 5 2 6 4 3 11 12 8 1 9 10
4,79,7 5 2 6 4 3 11 12 8 1 9 10
5,79,7 5 2 6 4 3 11 12 8 1 9 10
6,79,7 5 2 6 4 3 11 12 8 1 9 10
7,79,7 5 2 6 4 3 11 12 8 1 9 10
8,79,7 5 2 6 4 3 11 12 8 1 9 10
9,79,7 5 2 6 4 3 11 12 8 1 9 10
10,79,7 5 2 6 4 3 11 12 8 1 9 10
11,72,6 5 7 9 1 10 12 4 11 3 2 8
12,72,6 5 7 9 1 10 12 4 11 3 2 8
13,72,6 5 7 9 1 10 12 4 11 3 2 8
14,72,6 5 7 9 1 10 12 4 11 3 2 8
15,72,6 5 7 9 1 10 12 4 11 3 2 8
16,72,6 5 7 9 1 10 12 4 11 3 2 8
17,72,6 5 7 9 1 10 12 4 11 3 2 8
18,72,6 5 7 9 1 10 12 4 11 3 2 8
19,72,6 5 7 9 1 10 12 4 11 3 2 8
20,63,11 6 9 10 2 1 7 4 8 12 3 5
21,63,11 6 9 10 2 1 7 4 8 12 3 5
22,63,11 6 9 10 2 1 7 4 8 12 3 5
23,63,11 6 9 10 2 1 7 4 8 12 3 5
24,63,11 6 9 10 2 1 7 4 8 12 3 5
25,63,11 6 9 10 2 1 7 4 8 12 3 5
26,63,11 6 9 10 2 1 7 4 8 12 3 5
27,63,11 6 9 10 2 1 7 4 8 12 3 5
28,63,11 6 9 10 2 1 7 4 8 12 3 5
29,63,11 6 9 10 2 1 7 4 8 12 3 5
30,63,11 6 9 10 2 1 7 4 8 12 3 5
31,63,11 6 9 10 2 1 7 4 8 12 3 5
32,63,11 6 9 10 2 1 7 4 8 12 3 5
33,63,11 6 9 10 2 1 7 4 8 12 3 5
34,63,11 6 9 10 2 1 7 4 8 12 3 5
35,63,11 6 9 10 2 1 7 4 8 12 3 5
36,63,11 6 9 10 2 1 7 4 8 12 3 5
37,63,11 6 9 10 2 1 7 4 8 12 3 5
38,63,11 6 9 10 2 1 7 4 8 12 3 5
39,63,11 6 9 10 2 1 7 4 8 12 3 5
40,63,11 6 9 10 2 1 7 4 8 12 3 5
41,63,11 6 9 10 2 1 7 4 8 12 3 5
42,63,11 6 9 10 2 1 7 4 8 12 3 5
43,63,11 6 9 10 2 1 7 4 8 12 3 5
44,63,11 6 9 10 2 1 7 4 8 12 3 5
45,63,11 6 9 10 2 1 7 4 8 12 3 5
46,63,11 6 9 10 2 1 7 4 8 12 3 5
47,49,6 9 10 5 8 11 2 1 7 3 12 4
48,49,6 9 10 5 8 11 2 1 7 3 12 4
49,49,6 9 10 5 8 11 2 1 7 3 12 4
