Iteration,Cost,Temperature,Sequence
0,27,5000,3 2 1
1,17,4950,2 3 1
2,27,4900,5,3 2 1
3,17,4851,495,2 3 1
4,21,4802,98,1 3 2
5,27,4754,95,3 1 2
6,22,4707,401,2 1 3
7,26,4660,327,1 2 3
8,22,4613,724,2 1 3
9,17,4567,586,2 3 1
10,21,4521,911,1 3 2
11,26,4476,691,1 2 3
12,22,4431,924,2 1 3
13,17,4387,605,2 3 1
14,27,4343,729,3 2 1
15,17,4300,292,2 3 1
16,27,4257,289,3 2 1
17,26,4214,716,1 2 3
18,21,4172,569,1 3 2
19,17,4130,843,2 3 1
20,22,4089,535,2 1 3
21,27,4048,64,3 1 2
22,27,4008,153,3 2 1
23,26,3968,072,1 2 3
24,22,3928,391,2 1 3
25,17,3889,107,2 3 1
26,27,3850,216,3 2 1
27,26,3811,714,1 2 3
28,22,3773,597,2 1 3
29,26,3735,861,1 2 3
30,27,3698,502,3 2 1
31,17,3661,517,2 3 1
32,22,3624,902,2 1 3
33,17,3588,653,2 3 1
34,21,3552,766,1 3 2
35,17,3517,239,2 3 1
36,22,3482,066,2 1 3
37,27,3447,246,3 1 2
38,27,3412,773,3 2 1
39,17,3378,646,2 3 1
40,27,3344,859,3 2 1
41,27,3311,411,3 1 2
42,22,3278,297,2 1 3
43,17,3245,514,2 3 1
44,21,3213,059,1 3 2
45,17,3180,928,2 3 1
46,27,3149,119,3 2 1
47,27,3117,627,3 1 2
48,22,3086,451,2 1 3
49,27,3055,587,3 1 2
50,22,3025,031,2 1 3
51,17,2994,781,2 3 1
52,27,2964,833,3 2 1
53,26,2935,184,1 2 3
54,21,2905,833,1 3 2
55,27,2876,774,3 1 2
56,22,2848,006,2 1 3
57,26,2819,526,1 2 3
58,27,2791,331,3 2 1
59,26,2763,418,1 2 3
60,27,2735,783,3 2 1
61,27,2708,426,3 1 2
62,27,2681,341,3 2 1
63,26,2654,528,1 2 3
64,27,2627,983,3 2 1
65,27,2601,703,3 1 2
66,27,2575,686,3 2 1
67,27,2549,929,3 1 2
68,27,2524,43,3 2 1
69,27,2499,185,3 1 2
70,21,2474,193,1 3 2
71,17,2449,451,2 3 1
72,22,2424,957,2 1 3
73,17,2400,707,2 3 1
74,27,2376,7,3 2 1
75,17,2352,933,2 3 1
76,21,2329,404,1 3 2
77,26,2306,11,1 2 3
78,27,2283,049,3 2 1
79,26,2260,218,1 2 3
80,21,2237,616,1 3 2
81,27,2215,24,3 1 2
82,21,2193,087,1 3 2
83,27,2171,156,3 1 2
84,27,2149,445,3 2 1
85,26,2127,95,1 2 3
86,27,2106,671,3 2 1
87,26,2085,604,1 2 3
88,22,2064,748,2 1 3
89,26,2044,101,1 2 3
90,22,2023,66,2 1 3
91,26,2003,423,1 2 3
92,21,1983,389,1 3 2
93,27,1963,555,3 1 2
94,22,1943,92,2 1 3
95,17,1924,48,2 3 1
96,21,1905,236,1 3 2
97,17,1886,183,2 3 1
98,27,1867,322,3 2 1
99,26,1848,648,1 2 3
100,22,1830,162,2 1 3
101,27,1811,86,3 1 2
102,21,1793,742,1 3 2
103,27,1775,804,3 1 2
104,22,1758,046,2 1 3
105,17,1740,466,2 3 1
106,22,1723,061,2 1 3
107,27,1705,83,3 1 2
108,21,1688,772,1 3 2
109,26,1671,884,1 2 3
110,22,1655,166,2 1 3
111,17,1638,614,2 3 1
112,21,1622,228,1 3 2
113,26,1606,005,1 2 3
114,22,1589,945,2 1 3
115,26,1574,046,1 2 3
116,22,1558,306,2 1 3
117,26,1542,723,1 2 3
118,21,1527,295,1 3 2
119,26,1512,022,1 2 3
120,27,1496,902,3 2 1
121,27,1481,933,3 1 2
122,27,1467,114,3 2 1
123,17,1452,443,2 3 1
124,22,1437,918,2 1 3
125,17,1423,539,2 3 1
126,22,1409,304,2 1 3
127,26,1395,211,1 2 3
128,22,1381,259,2 1 3
129,17,1367,446,2 3 1
130,21,1353,771,1 3 2
131,27,1340,234,3 1 2
132,22,1326,831,2 1 3
133,27,1313,563,3 1 2
134,27,1300,427,3 2 1
135,27,1287,423,3 1 2
136,22,1274,549,2 1 3
137,17,1261,803,2 3 1
138,21,1249,185,1 3 2
139,26,1236,694,1 2 3
140,27,1224,327,3 2 1
141,27,1212,083,3 1 2
142,22,1199,963,2 1 3
143,27,1187,963,3 1 2
144,21,1176,083,1 3 2
145,17,1164,322,2 3 1
146,22,1152,679,2 1 3
147,27,1141,152,3 1 2
148,22,1129,741,2 1 3
149,26,1118,444,1 2 3
150,22,1107,259,2 1 3
151,26,1096,187,1 2 3
152,27,1085,225,3 2 1
153,27,1074,372,3 1 2
154,27,1063,629,3 2 1
155,26,1052,992,1 2 3
156,27,1042,462,3 2 1
157,27,1032,038,3 1 2
158,21,1021,717,1 3 2
159,27,1011,5,3 1 2
160,27,1001,385,3 2 1
161,26,991,3713,1 2 3
162,27,981,4576,3 2 1
163,26,971,6431,1 2 3
164,22,961,9266,2 1 3
165,26,952,3074,1 2 3
166,27,942,7843,3 2 1
167,27,933,3564,3 1 2
168,22,924,0229,2 1 3
169,26,914,7827,1 2 3
170,21,905,6348,1 3 2
171,27,896,5785,3 1 2
172,21,887,6127,1 3 2
173,26,878,7366,1 2 3
