Iteration,Cost,Temperature,Sequence
65,163,356,479,14 13 20 18 10 6 7 11 17 15 19 9 4 3 16 2 1 8 5 12
66,195,338,6551,14 13 20 18 10 6 7 11 17 1 19 9 4 3 16 2 15 8 5 12
67,197,321,7223,14 13 20 18 10 6 7 11 17 1 19 9 4 3 16 2 8 15 5 12
68,203,305,6362,14 13 20 18 10 11 7 6 17 1 19 9 4 3 16 2 8 15 5 12
69,207,290,3544,11 13 20 18 10 14 7 6 17 1 19 9 4 3 16 2 8 15 5 12
70,189,275,8367,11 13 20 18 10 14 7 6 17 1 4 9 19 3 16 2 8 15 5 12
71,191,262,0448,11 13 20 18 3 14 7 6 17 1 4 9 19 10 16 2 8 15 5 12
72,197,248,9426,11 13 20 18 3 14 7 6 17 1 4 9 19 8 16 2 10 15 5 12
73,203,236,4955,11 13 20 18 3 7 14 6 17 1 4 9 19 8 16 2 10 15 5 12
74,211,224,6707,11 13 20 18 7 3 14 6 17 1 4 9 19 8 16 2 10 15 5 12
75,229,213,4371,11 13 1 18 7 3 14 6 17 20 4 9 19 8 16 2 10 15 5 12
76,215,202,7653,11 13 1 18 7 3 14 2 17 20 4 9 19 8 16 6 10 15 5 12
77,211,192,627,4 13 1 18 7 3 14 2 17 20 11 9 19 8 16 6 10 15 5 12
78,211,182,9957,4 18 1 13 7 3 14 2 17 20 11 9 19 8 16 6 10 15 5 12
79,201,173,8459,4 14 1 13 7 3 18 2 17 20 11 9 19 8 16 6 10 15 5 12
80,201,165,1536,4 14 1 13 7 3 18 2 17 20 11 9 19 8 16 6 10 15 5 12
81,205,156,8959,6 14 1 13 7 3 18 2 17 20 11 9 19 8 16 4 10 15 5 12
82,207,149,0511,20 14 1 13 7 3 18 2 17 6 11 9 19 8 16 4 10 15 5 12
83,209,141,5985,20 14 1 9 7 3 18 2 17 6 11 13 19 8 16 4 10 15 5 12
84,215,134,5186,20 14 1 9 7 3 18 2 17 11 6 13 19 8 16 4 10 15 5 12
85,217,127,7927,15 14 1 9 7 3 18 2 17 11 6 13 19 8 16 4 10 20 5 12
86,213,121,403,15 14 1 9 7 3 18 2 17 5 6 13 19 8 16 4 10 20 11 12
