Iteration,Cost,Temperature,Sequence
0,17,5000,2 3 1
1,22,4950,2 1 3
2,26,4900,5,1 2 3
3,21,4851,495,1 3 2
4,17,4802,98,2 3 1
5,22,4754,95,2 1 3
6,26,4707,401,1 2 3
7,22,4660,327,2 1 3
8,17,4613,724,2 3 1
9,21,4567,586,1 3 2
10,26,4521,911,1 2 3
11,27,4476,691,3 2 1
12,27,4431,924,3 1 2
13,21,4387,605,1 3 2
14,26,4343,729,1 2 3
15,27,4300,292,3 2 1
16,27,4257,289,3 1 2
17,27,4214,716,3 2 1
18,26,4172,569,1 2 3
19,22,4130,843,2 1 3
20,17,4089,535,2 3 1
21,27,4048,64,3 2 1
22,17,4008,153,2 3 1
23,21,3968,072,1 3 2
24,27,3928,391,3 1 2
25,22,3889,107,2 1 3
26,17,3850,216,2 3 1
27,27,3811,714,3 2 1
28,17,3773,597,2 3 1
29,27,3735,861,3 2 1
30,26,3698,502,1 2 3
31,27,3661,517,3 2 1
32,17,3624,902,2 3 1
33,21,3588,653,1 3 2
34,26,3552,766,1 2 3
35,21,3517,239,1 3 2
36,27,3482,066,3 1 2
37,27,3447,246,3 2 1
38,27,3412,773,3 1 2
39,27,3378,646,3 2 1
40,17,3344,859,2 3 1
41,27,3311,411,3 2 1
42,26,3278,297,1 2 3
43,22,3245,514,2 1 3
44,27,3213,059,3 1 2
45,22,3180,928,2 1 3
46,27,3149,119,3 1 2
47,27,3117,627,3 2 1
48,17,3086,451,2 3 1
49,27,3055,587,3 2 1
50,26,3025,031,1 2 3
51,27,2994,781,3 2 1
52,27,2964,833,3 1 2
53,22,2935,184,2 1 3
54,27,2905,833,3 1 2
55,22,2876,774,2 1 3
56,27,2848,006,3 1 2
57,27,2819,526,3 2 1
58,27,2791,331,3 1 2
59,21,2763,418,1 3 2
60,26,2735,783,1 2 3
61,21,2708,426,1 3 2
62,26,2681,341,1 2 3
63,21,2654,528,1 3 2
64,26,2627,983,1 2 3
65,22,2601,703,2 1 3
66,17,2575,686,2 3 1
67,22,2549,929,2 1 3
68,17,2524,43,2 3 1
69,27,2499,185,3 2 1
70,26,2474,193,1 2 3
71,21,2449,451,1 3 2
72,17,2424,957,2 3 1
73,21,2400,707,1 3 2
74,26,2376,7,1 2 3
75,21,2352,933,1 3 2
76,17,2329,404,2 3 1
77,27,2306,11,3 2 1
78,17,2283,049,2 3 1
79,22,2260,218,2 1 3
80,27,2237,616,3 1 2
81,22,2215,24,2 1 3
82,27,2193,087,3 1 2
83,22,2171,156,2 1 3
84,27,2149,445,3 1 2
85,22,2127,95,2 1 3
86,26,2106,671,1 2 3
87,27,2085,604,3 2 1
88,27,2064,748,3 1 2
89,27,2044,101,3 2 1
90,26,2023,66,1 2 3
91,27,2003,423,3 2 1
92,26,1983,389,1 2 3
93,21,1963,555,1 3 2
94,17,1943,92,2 3 1
95,27,1924,48,3 2 1
96,27,1905,236,3 1 2
97,22,1886,183,2 1 3
98,27,1867,322,3 1 2
99,21,1848,648,1 3 2
100,17,1830,162,2 3 1
101,22,1811,86,2 1 3
102,27,1793,742,3 1 2
103,21,1775,804,1 3 2
104,26,1758,046,1 2 3
105,22,1740,466,2 1 3
106,26,1723,061,1 2 3
107,22,1705,83,2 1 3
108,27,1688,772,3 1 2
109,27,1671,884,3 2 1
110,17,1655,166,2 3 1
111,22,1638,614,2 1 3
112,27,1622,228,3 1 2
113,21,1606,005,1 3 2
114,17,1589,945,2 3 1
115,21,1574,046,1 3 2
116,26,1558,306,1 2 3
117,27,1542,723,3 2 1
118,17,1527,295,2 3 1
119,21,1512,022,1 3 2
120,27,1496,902,3 1 2
121,21,1481,933,1 3 2
122,27,1467,114,3 1 2
123,22,1452,443,2 1 3
124,27,1437,918,3 1 2
125,27,1423,539,3 2 1
126,26,1409,304,1 2 3
127,22,1395,211,2 1 3
128,27,1381,259,3 1 2
129,27,1367,446,3 2 1
130,26,1353,771,1 2 3
131,27,1340,234,3 2 1
132,26,1326,831,1 2 3
133,27,1313,563,3 2 1
134,27,1300,427,3 1 2
135,21,1287,423,1 3 2
136,26,1274,549,1 2 3
137,27,1261,803,3 2 1
138,26,1249,185,1 2 3
139,27,1236,694,3 2 1
140,26,1224,327,1 2 3
141,27,1212,083,3 2 1
142,17,1199,963,2 3 1
143,21,1187,963,1 3 2
144,17,1176,083,2 3 1
145,22,1164,322,2 1 3
146,27,1152,679,3 1 2
147,27,1141,152,3 2 1
148,26,1129,741,1 2 3
149,27,1118,444,3 2 1
150,27,1107,259,3 1 2
151,27,1096,187,3 2 1
152,17,1085,225,2 3 1
153,27,1074,372,3 2 1
154,26,1063,629,1 2 3
155,22,1052,992,2 1 3
156,27,1042,462,3 1 2
157,22,1032,038,2 1 3
158,26,1021,717,1 2 3
159,21,1011,5,1 3 2
160,26,1001,385,1 2 3
161,22,991,3713,2 1 3
162,26,981,4576,1 2 3
163,27,971,6431,3 2 1
164,17,961,9266,2 3 1
165,27,952,3074,3 2 1
166,17,942,7843,2 3 1
167,22,933,3564,2 1 3
168,26,924,0229,1 2 3
169,27,914,7827,3 2 1
170,26,905,6348,1 2 3
171,27,896,5785,3 2 1
172,27,887,6127,3 1 2
173,22,878,7366,2 1 3
174,17,869,9493,2 3 1
175,21,861,2498,1 3 2
176,17,852,6373,2 3 1
177,21,844,111,1 3 2
178,17,835,6699,2 3 1
179,27,827,3132,3 2 1
180,27,819,04,3 1 2
181,27,810,8496,3 2 1
182,17,802,7411,2 3 1
183,22,794,7137,2 1 3
184,26,786,7665,1 2 3
185,21,778,8989,1 3 2
186,26,771,1099,1 2 3
187,21,763,3987,1 3 2
188,26,755,7648,1 2 3
189,27,748,2072,3 2 1
190,26,740,7251,1 2 3
191,22,733,3179,2 1 3
192,26,725,9847,1 2 3
193,22,718,7249,2 1 3
194,17,711,5376,2 3 1
195,21,704,4222,1 3 2
196,27,697,378,3 1 2
197,21,690,4042,1 3 2
198,27,683,5002,3 1 2
199,21,676,6652,1 3 2
200,17,669,8985,2 3 1
201,22,663,1995,2 1 3
202,26,656,5675,1 2 3
203,27,650,0018,3 2 1
204,27,643,5018,3 1 2
205,21,637,0668,1 3 2
206,27,630,6962,3 1 2
207,21,624,3892,1 3 2
208,26,618,1453,1 2 3
209,22,611,9639,2 1 3
210,26,605,8442,1 2 3
211,21,599,7858,1 3 2
212,17,593,7879,2 3 1
213,27,587,85,3 2 1
214,17,581,9716,2 3 1
215,22,576,1519,2 1 3
216,26,570,3903,1 2 3
217,27,564,6864,3 2 1
218,27,559,0396,3 1 2
219,21,553,4492,1 3 2
220,17,547,9147,2 3 1
221,27,542,4355,3 2 1
222,17,537,0112,2 3 1
223,21,531,6411,1 3 2
224,17,526,3246,2 3 1
225,21,521,0614,1 3 2
226,26,515,8508,1 2 3
227,22,510,6923,2 1 3
228,26,505,5853,1 2 3
229,27,500,5295,3 2 1
230,26,495,5242,1 2 3
231,27,490,5689,3 2 1
232,26,485,6632,1 2 3
233,21,480,8066,1 3 2
234,26,475,9985,1 2 3
235,21,471,2386,1 3 2
236,17,466,5262,2 3 1
237,27,461,8609,3 2 1
238,17,457,2423,2 3 1
239,22,452,6699,2 1 3
240,26,448,1432,1 2 3
241,21,443,6617,1 3 2
242,27,439,2251,3 1 2
243,22,434,8329,2 1 3
244,26,430,4846,1 2 3
245,22,426,1797,2 1 3
246,22,421,9179,2 1 3
247,22,417,6987,2 1 3
248,22,413,5217,2 1 3
249,27,409,3865,3 1 2
250,22,405,2926,2 1 3
251,17,401,2397,2 3 1
252,22,397,2273,2 1 3
253,26,393,2551,1 2 3
254,21,389,3225,1 3 2
255,26,385,4293,1 2 3
256,21,381,575,1 3 2
257,17,377,7593,2 3 1
258,22,373,9817,2 1 3
259,26,370,2419,1 2 3
260,22,366,5395,2 1 3
261,27,362,8741,3 1 2
262,21,359,2453,1 3 2
263,17,355,6528,2 3 1
264,22,352,0963,2 1 3
265,27,348,5753,3 1 2
266,22,345,0896,2 1 3
267,26,341,6387,1 2 3
268,22,338,2223,2 1 3
269,26,334,8401,1 2 3
270,21,331,4917,1 3 2
271,26,328,1768,1 2 3
272,21,324,895,1 3 2
273,27,321,6461,3 1 2
274,21,318,4296,1 3 2
275,17,315,2453,2 3 1
276,22,312,0928,2 1 3
277,27,308,9719,3 1 2
278,22,305,8822,2 1 3
279,27,302,8234,3 1 2
280,22,299,7951,2 1 3
281,17,296,7972,2 3 1
282,27,293,8292,3 2 1
283,26,290,8909,1 2 3
284,21,287,982,1 3 2
285,17,285,1022,2 3 1
286,21,282,2512,1 3 2
287,17,279,4287,2 3 1
288,21,276,6344,1 3 2
289,17,273,868,2 3 1
290,21,271,1294,1 3 2
291,26,268,4181,1 2 3
292,22,265,7339,2 1 3
293,26,263,0765,1 2 3
294,27,260,4458,3 2 1
295,27,257,8413,3 1 2
296,22,255,2629,2 1 3
297,17,252,7103,2 3 1
298,21,250,1832,1 3 2
299,17,247,6813,2 3 1
300,22,245,2045,2 1 3
301,26,242,7525,1 2 3
302,21,240,325,1 3 2
303,27,237,9217,3 1 2
304,21,235,5425,1 3 2
305,17,233,1871,2 3 1
306,21,230,8552,1 3 2
307,17,228,5467,2 3 1
308,21,226,2612,1 3 2
309,17,223,9986,2 3 1
310,22,221,7586,2 1 3
311,27,219,541,3 1 2
312,27,217,3456,3 2 1
313,17,215,1721,2 3 1
314,21,213,0204,1 3 2
315,17,210,8902,2 3 1
316,21,208,7813,1 3 2
317,26,206,6935,1 2 3
318,27,204,6266,3 2 1
319,17,202,5803,2 3 1
320,21,200,5545,1 3 2
321,26,198,549,1 2 3
322,27,196,5635,3 2 1
323,17,194,5978,2 3 1
324,21,192,6519,1 3 2
325,27,190,7253,3 1 2
326,22,188,8181,2 1 3
327,17,186,9299,2 3 1
328,21,185,0606,1 3 2
329,27,183,21,3 1 2
330,27,181,3779,3 2 1
331,26,179,5641,1 2 3
332,27,177,7685,3 2 1
333,26,175,9908,1 2 3
334,22,174,2309,2 1 3
335,26,172,4886,1 2 3
336,22,170,7637,2 1 3
337,17,169,0561,2 3 1
338,27,167,3655,3 2 1
339,27,165,6918,3 1 2
340,27,164,0349,3 2 1
341,17,162,3946,2 3 1
342,22,160,7706,2 1 3
343,17,159,1629,2 3 1
344,22,157,5713,2 1 3
345,17,155,9956,2 3 1
346,22,154,4356,2 1 3
347,27,152,8913,3 1 2
348,27,151,3623,3 2 1
349,26,149,8487,1 2 3
350,22,148,3502,2 1 3
351,17,146,8667,2 3 1
352,22,145,398,2 1 3
353,17,143,9441,2 3 1
354,22,142,5046,2 1 3
355,26,141,0796,1 2 3
356,27,139,6688,3 2 1
357,26,138,2721,1 2 3
358,27,136,8894,3 2 1
359,26,135,5205,1 2 3
360,27,134,1653,3 2 1
361,27,132,8236,3 1 2
362,27,131,4954,3 2 1
363,26,130,1804,1 2 3
364,21,128,8786,1 3 2
365,17,127,5898,2 3 1
366,21,126,3139,1 3 2
367,17,125,0508,2 3 1
368,21,123,8003,1 3 2
369,26,122,5623,1 2 3
370,21,121,3366,1 3 2
371,17,120,1233,2 3 1
372,22,118,9221,2 1 3
373,27,117,7328,3 1 2
374,27,116,5555,3 2 1
375,17,115,3899,2 3 1
376,27,114,236,3 2 1
377,27,113,0937,3 1 2
378,22,111,9627,2 1 3
379,27,110,8431,3 1 2
380,22,109,7347,2 1 3
381,27,108,6373,3 1 2
382,27,107,551,3 2 1
383,27,106,4755,3 1 2
384,22,105,4107,2 1 3
385,27,104,3566,3 1 2
386,21,103,313,1 3 2
387,17,102,2799,2 3 1
388,17,101,2571,2 3 1
389,22,100,2445,2 1 3
390,26,99,24209,1 2 3
391,27,98,24966,3 2 1
392,27,97,26717,3 1 2
393,21,96,29449,1 3 2
394,17,95,33155,2 3 1
395,22,94,37823,2 1 3
396,26,93,43446,1 2 3
397,22,92,50011,2 1 3
398,27,91,57511,3 1 2
399,27,90,65936,3 2 1
400,26,89,75277,1 2 3
401,27,88,85524,3 2 1
402,26,87,96669,1 2 3
403,21,87,08702,1 3 2
404,17,86,21615,2 3 1
405,22,85,35399,2 1 3
